Name,Nationality
Nández,Uruguay
Rupp,Germany
Amat,Spain
Caballero,Argentina
Francesco,Italy
Kaddouri,Morocco
Rogić,Australia
Töre,Turkey
Destro,Italy
Josué,Portugal
Bizzarri,Argentina
Yueng,Korea Republic
Onyekuru,Nigeria
Pépé,Ivory Coast
Pereira,Brazil
Salibur,France
Vargas,Chile
Magallán,Argentina
Danny,Portugal
Hérelle,France
Mangala,France
Selnæs,Norway
Vázquez,Spain
Mariño,Spain
Planas,Spain
Fernández,Argentina
Soldado,Spain
Ekdal,Sweden
Fernandes,Portugal
Darmian,Italy
Chalobah,England
Pizarro,Mexico
Simões,Portugal
Tshabalala,South Africa
Rossettini,Italy
Viviani,Italy
Roon,Netherlands
Duarte,Spain
Ōsako,Japan
Gil,Brazil
Ruiz,Argentina
Aanholt,Netherlands
Meïté,France
Dolberg,Denmark
Freitinho,Brazil
Vietto,Argentina
Izzo,Italy
Paloschi,Italy
Gönül,Turkey
Llorente,Spain
Morel,Madagascar
Kakuta,DR Congo
Pedro,Brazil
García,Argentina
Correia,Brazil
Kenedy,Brazil
Moralez,Argentina
Vukčević,Montenegro
Borini,Italy
Sarr,Senegal
Clark,Republic of Ireland
Mata,Spain
Albrighton,England
Gray,England
Guarín,Colombia
Yoel,Spain
Cuadrado,Colombia
Widmer,Switzerland
Dzsudzsák,Hungary
Mantalos,Greece
Proto,Belgium
Mehmedi,Switzerland
Pablo,Brazil
Slimani,Algeria
Erkin,Turkey
Chygrynskyi,Ukraine
Beto,Portugal
Samaris,Greece
Lapadula,Italy
Stein,Brazil
Padt,Netherlands
Taïder,Algeria
Klaus,Germany
Nordtveit,Norway
Zuffi,Switzerland
Piodão,Brazil
Zuber,Switzerland
Palomino,Argentina
Mutō,Japan
Altidore,United States
Barbosa,Argentina
Laborde,France
Baysse,France
Botteghin,Brazil
Alejo,Spain
Blanco,Argentina
Mendes,Brazil
Brosinski,Germany
Monconduit,France
Fernández,Spain
Eraso,Spain
Hanni,Algeria
Konaté,Senegal
Théréau,France
Donatti,Argentina
Jedvaj,Croatia
Henrique,Brazil
Briand,France
Lustenberger,Switzerland
Ayew,Ghana
Sanogo,Ivory Coast
Thomas,France
Cachoira,Brazil
Sansone,Italy
Bičakčić,Bosnia Herzegovina
Veltman,Netherlands
Knockaert,France
Santos,Brazil
Bocchetti,Italy
Dembélé,France
Valencia,Ecuador
Mollet,France
Dumfries,Netherlands
Cheol,Korea Republic
Petagna,Italy
Tomás,Spain
Balanta,Colombia
Koubek,Czech Republic
Allen,Wales
Carvalho,Brazil
Ristovski,FYR Macedonia
Maicón,Brazil
Quintero,Colombia
Højbjerg,Denmark
Santini,Croatia
Vieirinha,Portugal
Boselli,Argentina
Antonelli,Italy
